size,block_size,scheduler,pq,Blocks,exp,Order
14400,360,dmda,6x1,.1,openmpi,openmpi_6x1_dmda_1
14400,360,dmda,2x3,.1,openmpi,openmpi_2x3_dmda_2
14400,360,random,1x6,.1,openmpi,openmpi_1x6_random_3
14400,360,lws,1x6,.1,openmpi,openmpi_1x6_lws_4
14400,360,dmda,3x2,.1,openmpi,openmpi_3x2_dmda_5
14400,360,dmdas,1x6,.1,openmpi,openmpi_1x6_dmdas_6
14400,360,dmdas,2x3,.1,openmpi,openmpi_2x3_dmdas_7
14400,360,lws,6x1,.1,openmpi,openmpi_6x1_lws_8
14400,360,random,3x2,.1,openmpi,openmpi_3x2_random_9
14400,360,lws,2x3,.1,openmpi,openmpi_2x3_lws_10
14400,360,dmda,1x6,.1,openmpi,openmpi_1x6_dmda_11
14400,360,random,6x1,.1,openmpi,openmpi_6x1_random_12
14400,360,random,2x3,.1,openmpi,openmpi_2x3_random_13
14400,360,dmdas,6x1,.1,openmpi,openmpi_6x1_dmdas_14
14400,360,lws,3x2,.1,openmpi,openmpi_3x2_lws_15
14400,360,dmdas,3x2,.1,openmpi,openmpi_3x2_dmdas_16
14400,360,lws,1x6,.2,openmpi,openmpi_1x6_lws_17
14400,360,dmda,2x3,.2,openmpi,openmpi_2x3_dmda_18
14400,360,dmdas,3x2,.2,openmpi,openmpi_3x2_dmdas_19
14400,360,random,1x6,.2,openmpi,openmpi_1x6_random_20
14400,360,dmda,6x1,.2,openmpi,openmpi_6x1_dmda_21
14400,360,dmda,1x6,.2,openmpi,openmpi_1x6_dmda_22
14400,360,dmda,3x2,.2,openmpi,openmpi_3x2_dmda_23
14400,360,random,2x3,.2,openmpi,openmpi_2x3_random_24
14400,360,dmdas,1x6,.2,openmpi,openmpi_1x6_dmdas_25
14400,360,dmdas,2x3,.2,openmpi,openmpi_2x3_dmdas_26
14400,360,lws,3x2,.2,openmpi,openmpi_3x2_lws_27
14400,360,lws,2x3,.2,openmpi,openmpi_2x3_lws_28
14400,360,random,3x2,.2,openmpi,openmpi_3x2_random_29
14400,360,dmdas,6x1,.2,openmpi,openmpi_6x1_dmdas_30
14400,360,random,6x1,.2,openmpi,openmpi_6x1_random_31
14400,360,lws,6x1,.2,openmpi,openmpi_6x1_lws_32
14400,360,random,3x2,.3,openmpi,openmpi_3x2_random_33
14400,360,random,6x1,.3,openmpi,openmpi_6x1_random_34
14400,360,dmdas,1x6,.3,openmpi,openmpi_1x6_dmdas_35
14400,360,random,2x3,.3,openmpi,openmpi_2x3_random_36
14400,360,dmda,6x1,.3,openmpi,openmpi_6x1_dmda_37
14400,360,dmdas,6x1,.3,openmpi,openmpi_6x1_dmdas_38
14400,360,lws,1x6,.3,openmpi,openmpi_1x6_lws_39
