size,block_size,scheduler,pq,exp,Order
14400,960,lws,1x6,block-size,block-size_960_1
14400,256,lws,1x6,block-size,block-size_256_2
14400,512,lws,1x6,block-size,block-size_512_3
14400,128,lws,1x6,block-size,block-size_128_4
14400,320,lws,1x6,block-size,block-size_320_5
14400,1600,lws,1x6,block-size,block-size_1600_6
14400,960,lws,1x6,block-size,block-size_960_7
14400,320,lws,1x6,block-size,block-size_320_8
14400,256,lws,1x6,block-size,block-size_256_9
14400,128,lws,1x6,block-size,block-size_128_10
14400,1600,lws,1x6,block-size,block-size_1600_11
14400,512,lws,1x6,block-size,block-size_512_12
14400,960,lws,1x6,block-size,block-size_960_13
14400,128,lws,1x6,block-size,block-size_128_14
14400,1600,lws,1x6,block-size,block-size_1600_15
14400,512,lws,1x6,block-size,block-size_512_16
14400,256,lws,1x6,block-size,block-size_256_17
14400,320,lws,1x6,block-size,block-size_320_18
14400,960,lws,1x6,block-size,block-size_960_19
14400,1600,lws,1x6,block-size,block-size_1600_20
14400,320,lws,1x6,block-size,block-size_320_21
14400,128,lws,1x6,block-size,block-size_128_22
14400,512,lws,1x6,block-size,block-size_512_23
14400,256,lws,1x6,block-size,block-size_256_24
14400,960,lws,1x6,block-size,block-size_960_25
14400,128,lws,1x6,block-size,block-size_128_26
14400,256,lws,1x6,block-size,block-size_256_27
14400,512,lws,1x6,block-size,block-size_512_28
14400,1600,lws,1x6,block-size,block-size_1600_29
14400,320,lws,1x6,block-size,block-size_320_30
14400,320,lws,1x6,block-size,block-size_320_31
14400,128,lws,1x6,block-size,block-size_128_32
14400,1600,lws,1x6,block-size,block-size_1600_33
14400,256,lws,1x6,block-size,block-size_256_34
14400,512,lws,1x6,block-size,block-size_512_35
14400,960,lws,1x6,block-size,block-size_960_36
14400,1600,lws,1x6,block-size,block-size_1600_37
14400,960,lws,1x6,block-size,block-size_960_38
14400,128,lws,1x6,block-size,block-size_128_39
14400,320,lws,1x6,block-size,block-size_320_40
14400,256,lws,1x6,block-size,block-size_256_41
14400,512,lws,1x6,block-size,block-size_512_42
14400,128,lws,1x6,block-size,block-size_128_43
14400,256,lws,1x6,block-size,block-size_256_44
14400,960,lws,1x6,block-size,block-size_960_45
14400,512,lws,1x6,block-size,block-size_512_46
14400,320,lws,1x6,block-size,block-size_320_47
14400,1600,lws,1x6,block-size,block-size_1600_48
14400,320,lws,1x6,block-size,block-size_320_49
14400,1600,lws,1x6,block-size,block-size_1600_50
14400,256,lws,1x6,block-size,block-size_256_51
14400,512,lws,1x6,block-size,block-size_512_52
14400,128,lws,1x6,block-size,block-size_128_53
14400,960,lws,1x6,block-size,block-size_960_54
14400,256,lws,1x6,block-size,block-size_256_55
14400,1600,lws,1x6,block-size,block-size_1600_56
14400,320,lws,1x6,block-size,block-size_320_57
14400,128,lws,1x6,block-size,block-size_128_58
14400,512,lws,1x6,block-size,block-size_512_59
14400,960,lws,1x6,block-size,block-size_960_60
